Code,Borough,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,
E09000002,Barking and Dagenham,"22,062","21,384","19,536","19,987","19,843","19,177","18,825","17,240","16,104","16,235","17,477","14,638",,,,,,
E09000003,Barnet,"34,871","29,920","26,645","26,374","26,273","25,701","26,281","25,364","22,724","23,192","24,978","21,549",,,,,,
E09000004,Bexley,"20,011","16,997","16,811","16,171","15,451","13,739","12,168","12,335","11,837","12,280","12,644","11,163",,,,,,
E09000005,Brent,"35,140","30,474","28,126","27,213","29,046","29,492","31,592","27,260","24,476","25,101","26,128","23,237",,,,,,
E09000006,Bromley,"30,793","28,424","25,195","26,350","23,781","22,031","21,903","20,248","19,445","20,434","21,137","17,243",,,,,,
E09000007,Camden,"42,236","42,435","35,398","34,175","33,773","34,205","35,799","32,840","28,646","28,428","30,185","25,390",,,,,,
E09000008,Croydon,"34,859","31,510","30,587","32,789","33,210","32,292","32,775","31,109","28,202","28,804","28,951","25,777",,,,,,
E09000009,Ealing,"37,295","36,734","33,963","32,747","33,654","35,030","32,575","30,003","25,886","25,941","27,032","23,684",,,,,,
E09000010,Enfield,"27,473","27,058","25,275","24,533","24,459","23,657","22,928","22,521","22,631","22,308","22,942","19,401",,,,,,
E09000011,Greenwich,"31,354","29,829","30,617","28,677","25,622","24,130","22,415","21,110","19,630","21,023","21,950","20,023",,,,,,
E09000012,Hackney,"34,630","31,160","32,241","29,713","28,721","28,016","27,902","27,804","26,031","25,706","27,209","24,933",,,,,,
E09000013,Hammersmith and Fulham,"25,861","25,334","23,219","22,928","22,867","24,151","23,426","21,782","18,985","20,259","20,514","17,629",,,,,,
E09000014,Haringey,"35,367","30,595","29,487","27,379","25,743","24,588","25,911","23,377","22,074","23,824","26,024","23,894",,,,,,
E09000015,Harrow,"17,481","15,837","14,074","15,047","15,392","14,973","14,169","13,463","12,236","12,316","13,174","11,309",,,,,,
E09000016,Havering,"21,772","19,997","17,200","18,020","17,153","17,581","17,302","16,458","15,127","15,358","16,851","14,680",,,,,,
E09000017,Hillingdon,"28,377","28,144","26,399","25,420","24,165","23,535","23,937","20,636","19,268","22,019","21,972","19,195",,,,,,
E09000018,Hounslow,"27,233","24,485","23,623","23,748","23,142","23,855","24,768","22,509","19,668","20,825","21,926","19,339",,,,,,
E09000019,Islington,"37,050","35,248","30,228","29,383","28,432","28,076","27,025","27,865","24,603","26,222","28,144","23,254",,,,,,
E09000020,Kensington and Chelsea,"24,731","24,328","23,485","21,979","20,883","21,181","20,766","20,839","17,975","18,836","19,663","17,206",,,,,,
E09000021,Kingston upon Thames,"15,141","13,105","12,276","11,296","11,012","11,150","11,232","10,198","9,288","9,774","10,155","8,739",,,,,,
E09000022,Lambeth,"41,968","38,868","35,855","35,186","35,458","35,672","36,993","34,912","32,923","33,025","34,998","29,787",,,,,,
E09000023,Lewisham,"33,387","32,150","31,055","31,553","29,553","28,874","27,172","24,727","22,327","22,109","24,712","20,654",,,,,,
E09000024,Merton,"17,299","16,078","15,025","15,146","14,840","14,721","14,157","13,376","11,596","12,164","12,933","10,973",,,,,,
E09000025,Newham,"39,020","35,597","35,448","33,519","34,259","34,361","32,011","31,716","28,950","28,986","30,084","26,306",,,,,,
E09000026,Redbridge,"24,679","24,646","22,544","24,410","24,034","24,519","24,257","22,419","20,044","20,128","19,637","16,963",,,,,,
E09000027,Richmond upon Thames,"14,891","13,408","12,073","11,885","11,529","11,734","12,012","11,803","10,518","10,788","10,729","9,780",,,,,,
E09000028,Southwark,"41,432","39,713","40,029","39,266","37,048","36,252","34,475","32,747","31,195","30,130","31,422","27,529",,,,,,
E09000029,Sutton,"16,077","15,408","13,340","13,831","13,033","12,408","11,736","11,188","10,401","10,974","10,949","9,102",,,,,,
E09000030,Tower Hamlets,"33,756","32,627","30,892","27,710","26,990","28,652","29,452","29,082","27,139","27,348","28,752","26,005",,,,,,
E09000031,Waltham Forest,"30,143","28,927","25,751","26,240","27,266","27,539","24,876","24,478","22,097","20,782","21,799","17,899",,,,,,
E09000032,Wandsworth,"30,130","30,039","27,299","25,088","25,469","24,723","24,392","25,445","22,241","22,583","23,292","20,809",,,,,,
E09000033,Westminster,"71,582","66,267","63,934","63,331","64,022","63,996","66,315","62,014","54,054","48,279","49,204","42,414",,,,,,