Code,code2,Borough,ViolenceAgainst,SexualOffences,Robbery,Burglary,Theft,Fraud,CriminalDamage,Drugs,Other
E09000001,1,City of London,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000002,2,Barking and Dagenham,4119,275,1030,2436,6315,1259,2418,1028,344
E09000003,3,Barnet,4154,297,1200,4914,9700,1891,2689,1074,257
E09000004,4,Bexley,2721,169,317,1513,4412,657,2133,937,162
E09000005,5,Brent,7287,341,2207,3975,8344,1484,2566,4514,456
E09000006,6,Bromley,4574,256,702,3424,7628,1396,2808,1058,205
E09000007,7,Camden,5545,377,1396,3325,17235,1131,2272,2690,358
E09000008,8,Croydon,6681,484,1835,4491,10870,1906,3839,2459,443
E09000009,9,Ealing,7138,406,1483,3870,12267,2236,3555,2345,576
E09000010,10,Enfield,4137,272,1125,3541,7802,1361,2835,1464,357
E09000011,11,Greenwich,5307,363,755,2624,8506,1249,3191,1296,368
E09000012,12,Hackney,5399,371,1222,2197,12161,809,2204,2534,312
E09000013,13,Hammersmith and Fulham,4345,203,788,2323,10706,808,1967,1586,381
E09000014,14,Haringey,4691,332,1497,3648,8837,1239,2625,1769,254
E09000015,15,Harrow,2865,170,724,2707,5012,838,1577,675,213
E09000016,16,Havering,3283,193,499,2900,6512,873,2136,980,229
E09000017,17,Hillingdon,5369,260,943,3846,7512,938,3173,1393,309
E09000018,18,Hounslow,5556,279,719,2897,8337,1412,2776,1771,411
E09000019,19,Islington,5076,284,1224,2830,13034,699,2166,1640,369
E09000020,20,Kensington and Chelsea,2752,179,622,1667,11279,780,1173,1480,170
E09000021,21,Kingston upon Thames,2212,166,249,1323,4768,567,1329,647,132
E09000022,22,Lambeth,7112,509,3093,3769,13366,1218,3208,3102,430
E09000023,23,Lewisham,6254,435,1556,3261,9057,1703,3148,1868,401
E09000024,24,Merton,2534,183,677,2230,5413,614,1838,957,110
E09000025,25,Newham,6421,432,2460,3204,12929,1734,3106,2121,407
E09000026,26,Redbridge,3878,288,1164,3606,9197,1467,2345,2248,294
E09000027,27,Richmond upon Thames,1986,168,226,2026,4497,608,1470,581,116
E09000028,28,Southwark,6613,504,2474,3531,12939,914,3176,3334,515
E09000029,29,Sutton,2444,205,319,1560,5209,409,1756,540,96
E09000030,30,Tower Hamlets,5819,430,1416,2717,10709,1391,2805,3717,443
E09000031,31,Waltham Forest,4926,318,1693,3202,10303,1196,2586,1214,262
E09000032,32,Wandsworth,4090,334,1209,3145,10063,916,2566,1010,317
E09000033,33,Westminster,8287,607,2069,3472,37349,2344,2844,6637,791