Code,Borough,Crime_2011,Crime_2016
E09000002,Barking and Dagenham,"18,825","14,638"
E09000003,Barnet,"26,281","21,549"
E09000004,Bexley,"12,168","11,163"
E09000005,Brent,"31,592","23,237"
E09000006,Bromley,"21,903","17,243"
E09000007,Camden,"35,799","25,390"
E09000008,Croydon,"32,775","25,777"
E09000009,Ealing,"32,575","23,684"
E09000010,Enfield,"22,928","19,401"
E09000011,Greenwich,"22,415","20,023"
E09000012,Hackney,"27,902","24,933"
E09000013,Hammersmith and Fulham,"23,426","17,629"
E09000014,Haringey,"25,911","23,894"
E09000015,Harrow,"14,169","11,309"
E09000016,Havering,"17,302","14,680"
E09000017,Hillingdon,"23,937","19,195"
E09000018,Hounslow,"24,768","19,339"
E09000019,Islington,"27,025","23,254"
E09000020,Kensington and Chelsea,"20,766","17,206"
E09000021,Kingston upon Thames,"11,232","8,739"
E09000022,Lambeth,"36,993","29,787"
E09000023,Lewisham,"27,172","20,654"
E09000024,Merton,"14,157","10,973"
E09000025,Newham,"32,011","26,306"
E09000026,Redbridge,"24,257","16,963"
E09000027,Richmond upon Thames,"12,012","9,780"
E09000028,Southwark,"34,475","27,529"
E09000029,Sutton,"11,736","9,102"
E09000030,Tower Hamlets,"29,452","26,005"
E09000031,Waltham Forest,"24,876","17,899"
E09000032,Wandsworth,"24,392","20,809"
E09000033,Westminster,"66,315","42,414"
,,"66,315","42,414"