Code,Borough,LLW,Number_of_Crime
E09000002,Barking and Dagenham,"7,000","18,825"
E09000003,Barnet,"16,000","26,281"
E09000004,Bexley,"17,000","12,168"
E09000005,Brent,"23,000","31,592"
E09000006,Bromley,"22,000","21,903"
E09000007,Camden,"24,000","35,799"
E09000008,Croydon,"23,000","32,775"
E09000009,Ealing,"20,000","32,575"
E09000010,Enfield,"18,000","22,928"
E09000011,Greenwich,"10,000","22,415"
E09000012,Hackney,"9,000","27,902"
E09000013,Hammersmith and Fulham,"13,000","23,426"
E09000014,Haringey,"11,000","25,911"
E09000015,Harrow,"19,000","14,169"
E09000016,Havering,"13,000","17,302"
E09000017,Hillingdon,"27,000","23,937"
E09000018,Hounslow,"17,000","24,768"
E09000019,Islington,"13,000","27,025"
E09000020,Kensington and Chelsea,"14,000","20,766"
E09000021,Kingston upon Thames,"15,000","11,232"
E09000022,Lambeth,"16,000","36,993"
E09000023,Lewisham,"9,000","27,172"
E09000024,Merton,"10,000","14,157"
E09000025,Newham,"13,000","32,011"
E09000026,Redbridge,"11,000","24,257"
E09000027,Richmond upon Thames,"8,000","12,012"
E09000028,Southwark,"19,000","34,475"
E09000029,Sutton,"18,000","11,736"
E09000030,Tower Hamlets,"13,000","29,452"
E09000031,Waltham Forest,"10,000","24,876"
E09000032,Wandsworth,"13,000","24,392"
E09000033,Westminster,"55,000","66,315"