code2,Code,Borough,Population2011,Population2
1,E09000001,City of London,7338,8800
2,E09000002,Barking and Dagenham,182838,209000
3,E09000003,Barnet,351438,389600
4,E09000004,Bexley,230711,244300
5,E09000005,Brent,304785,332100
6,E09000006,Bromley,308560,327900
7,E09000007,Camden,214725,242500
8,E09000008,Croydon,357951,386500
9,E09000009,Ealing,334073,351600
10,E09000010,Enfield,307648,333000
11,E09000011,Greenwich,249171,280100
12,E09000012,Hackney,241739,274300
13,E09000013,Hammersmith and Fulham,180842,185300
14,E09000014,Haringey,252742,278000
15,E09000015,Harrow,237451,252300
16,E09000016,Havering,236234,254300
17,E09000017,Hillingdon,269465,301000
18,E09000018,Hounslow,249236,274200
19,E09000019,Islington,200129,231200
20,E09000020,Kensington and Chelsea,160463,159000
21,E09000021,Kingston upon Thames,158648,175400
22,E09000022,Lambeth,297650,328900
23,E09000023,Lewisham,272525,303400
24,E09000024,Merton,199136,208100
25,E09000025,Newham,299171,342900
26,E09000026,Redbridge,275088,304200
27,E09000027,Richmond upon Thames,186304,197300
28,E09000028,Southwark,283777,314300
29,E09000029,Sutton,189321,202600
30,E09000030,Tower Hamlets,248520,304000
31,E09000031,Waltham Forest,254009,276200
32,E09000032,Wandsworth,302620,321000
33,E09000033,Westminster,219582,242100